2024-10-03T09:29:32 ,            0.22s , rows:0, 1a, DUAL, 50uabj20wrj8p, 0, system_under_observation, html , 00009_edb360_135990_1a_1_system_under_observation.html
2024-10-03T09:29:34 ,            0.19s , rows:1, 1a, V$DATABASE, fbvf10h1dstp8, 0, identification, html , 00010_edb360_135990_1a_2_identification.html
2024-10-03T09:29:35 ,            0.14s , rows:5, 1a, V$VERSION, aktrmgytbjrrb, 0, version, html , 00011_edb360_135990_1a_3_version.html
2024-10-03T09:29:36 ,            0.19s , rows:65, 1a, V$OPTION, 52zk85up4vgk2, 0, options, html , 00012_edb360_135990_1a_4_options.html
2024-10-03T09:29:38 ,            0.18s , rows:1, 1a, V$DATABASE, cdbpspqdtxfun, 0, database, html , 00013_edb360_135990_1a_5_database.html
2024-10-03T09:29:39 ,            0.17s , rows:1, 1a, GV$INSTANCE, fdx2xj6j0dsfc, 0, instance, html , 00014_edb360_135990_1a_6_instance.html
2024-10-03T09:29:40 ,            0.24s , rows:1, 1a, GV$INSTANCE_RECOVERY, 1bbbyzzbmvg35, 0, instance_recovery, html , 00015_edb360_135990_1a_7_instance_recovery.html
2024-10-03T09:29:42 ,            0.20s , rows:36, 1a, DATABASE_PROPERTIES, gk0g01z23qp7h, 0, database_properties, html , 00016_edb360_135990_1a_8_database_properties.html
2024-10-03T09:29:43 ,            0.46s , rows:18, 1a, DBA_REGISTRY, bu2fc403axpdq, 0, registry, html , 00017_edb360_135990_1a_9_registry.html
2024-10-03T09:29:45 ,            0.32s , rows:2, 1a, DBA_REGISTRY_HISTORY, 4wyv7thu50q7m, 0, registry_history, html , 00018_edb360_135990_1a_10_registry_history.html
2024-10-03T09:29:46 ,            0.15s , rows:18, 1a, DBA_REGISTRY_HIERARCHY, 5spawgxpq1ftp, 0, registry_hierarchy, html , 00019_edb360_135990_1a_11_registry_hierarchy.html
2024-10-03T09:29:49 ,            2.20s , rows:161, 1a, DBA_FEATURE_USAGE_STATISTICS, cvdnjx903xatp, 0, feature_usage_statistics, html , 00020_edb360_135990_1a_12_feature_usage_statistics.html
2024-10-03T09:29:51 ,            0.19s , rows:1, 1a, GV$LICENSE, byfcw3vdtr3sn, 0, license, html , 00021_edb360_135990_1a_13_license.html
